disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1352,,,,,1085125.11,1085125.11,,2023-11-01T00:00:00.000Z,,192419,c567d20491dc1db0a51fb3608bdca39ab90b8627,2023-11-01T04:03:22.859Z,4885cbc1-8974-49cf-9e1e-d9c8af18e989
1353,,,,,817522.69,49651.86,765362.51,2023-11-01T00:00:00.000Z,,104509,4512fd7ae206916905c6705b21619d8ccf0596d8,2023-11-01T04:03:22.859Z,f1dc0c84-53d5-4d8b-bf7a-5b94f81ab8ea
1354,,,,,185489007.3,152443939.55,33092101.88,2023-11-01T00:00:00.000Z,,28495935,347d9ad8339f1e0eb94e7f4c8bebc03e81283772,2023-11-01T04:03:22.859Z,9c0cd703-9310-4ef7-8602-b46e8d3d1371
1355,,,,,160002351.14,59324006.19,99573522.52,2023-11-01T00:00:00.000Z,,23968328,351be21a1c580d4c4bfd24b7d7dd44196a7b8cd6,2023-11-01T04:03:22.859Z,0e7a5b09-3b46-4265-8d86-9c7767f69431
1356,,,,,39711803.79,24308976.34,15313037.01,2023-11-01T00:00:00.000Z,,4438038,dcc7629be08f4624874713e6908b71ec5b9905f1,2023-11-01T04:03:22.859Z,09318f01-f2dc-44fd-a6ee-ca050f524c79
1357,,,,,4294159.44,2918003.52,1386461.64,2023-11-01T00:00:00.000Z,,351225,dc419165aa3e0f15a16baadfc71503b7eecfce4b,2023-11-01T04:03:22.859Z,c0d0fc68-a56e-4001-9fdd-de7ae4450f5b
1339,,,,,,,,,,896815,2fddd87cac23642be8ba270d84e2bb13c90b58dc,2023-03-18T13:22:12.883Z,9e76bea2-e716-4941-847b-f9bc5f271dbb
1340,,,,,,,,,,311009,298b989ad5d263b01b7d7a983c17a1e3304968f4,2023-03-18T13:22:12.883Z,f125dfb7-2a30-495e-949a-98e7613c4cdd
1341,,,,,,,,,,13056,57f82ef8c8a353f683c9cb30970e35127cb83b8a,2023-03-18T13:22:12.883Z,5169019b-820f-49ff-bd8e-b39f1a40a7d2
1342,,,,,,,,,,1000930,9ad21c6b71c474d559e410575a974b2882e1c26d,2023-03-18T13:22:12.883Z,15c8b080-f629-446d-9924-ba75f45ab04d
1358,,,,,727798.23,9329.08,703570.79,2023-11-01T00:00:00.000Z,,103931,29f8a75b8bfe0883fee48bd5f4210b579ca7e05b,2023-11-01T04:03:22.859Z,aef4f527-23f4-4573-9905-465aca7c7545
1360,,,,,18209539.53,9579191.49,8903962.17,2023-11-01T00:00:00.000Z,,2730274,b07303cb527d10c075c9dc6524fb5b8caacf8ae9,2023-11-01T04:03:22.859Z,b92d433b-6453-4bc8-b0f8-75ecd036fefd
